trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
224,False,"{'a': 0.033, 'e': 0.1064585043792528}",20,11,-8.79237335364287,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
225,False,"{'a': 0.033, 'e': 0.10539922456186433}",25,8,8.703021330045154,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
226,False,"{'a': 0.033, 'e': 0.104350484754765}",20,6,20.406960117438413,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.033, 'e': 0.1033121800831002}",20,0,24.854913609262578,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
228,False,"{'a': 0.033, 'e': 0.10228420671553744}",20,0,30.16266405356454,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
229,False,"{'a': 0.033, 'e': 0.1012664618538834}",20,0,27.212127255263738,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
230,False,"{'a': 0.033, 'e': 0.1002588437228037}",20,11,-2.672834276756946,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
231,False,"{'a': 0.033, 'e': 0.09926125155964566}",35,21,17.142847361908924,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.033, 'e': 0.09827358560436154}",20,0,22.69755606655815,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
233,False,"{'a': 0.033, 'e': 0.09729574708953276}",25,11,-0.03976855082516195,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
234,False,"{'a': 0.033, 'e': 0.09632763823049303}",25,1,22.947893818530705,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
235,False,"{'a': 0.033, 'e': 0.09536916221554961}",35,5,-63.46080835884615,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 2}",1
236,False,"{'a': 0.033, 'e': 0.09442022319630235}",20,6,-51.59950657247996,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 1}",1
237,False,"{'a': 0.033, 'e': 0.09348072627805847}",30,23,10.928213448991258,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.033, 'e': 0.09255057751034329}",20,0,21.032263814839855,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
239,False,"{'a': 0.033, 'e': 0.09162968387750484}",25,16,14.19484817923724,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.033, 'e': 0.09071795328941251}",20,16,7.207859534630943,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.033, 'e': 0.08981529457224763}",25,16,13.403501094909348,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.033, 'e': 0.08892161745938634}",25,0,-22.30326685605189,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
243,False,"{'a': 0.033, 'e': 0.08803683258237255}",20,0,9.126147154541407,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
244,False,"{'a': 0.033, 'e': 0.0871608514619813}",25,6,16.587781537225172,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
245,False,"{'a': 0.033, 'e': 0.0862935864993705}",20,6,1.1771146232022378,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
